id,full_name,age,occupation,lga,ward,street,declared_income,property_value,business_owner,sector,compliance_score,created_at
1431,Tyler Adkins,44,"Doctor, general practice",Ajah,Ward 2 Ajah,Street 6 Ward 2 Ajah,4678350.0,7378754.22,True,Retail,86.41,2022-06-09
1432,Kimberly Mcdowell,33,Science writer,Alimosho,Ward 1 Alimosho,Street 4 Ward 1 Alimosho,3784658.0,9523999.68,False,Retail,72.11,2020-11-18
1433,Andrew Mata,56,Tree surgeon,Alimosho,Ward 4 Alimosho,Street 2 Ward 4 Alimosho,3614948.0,6930270.31,True,Real Estate,81.62,2025-01-11
1434,Hailey Wall,70,"Pharmacist, community",Shomolu,Ward 2 Shomolu,Street 4 Ward 2 Shomolu,903843.0,2643972.99,False,Finance,53.3,2020-06-26
1435,Robert Brown,64,Musician,Amuwo-Odofin,Ward 5 Amuwo-Odofin,Street 7 Ward 5 Amuwo-Odofin,6673359.0,15804149.48,True,Retail,70.06,2025-07-15
1436,Thomas Young,23,Insurance account manager,Apapa,Ward 4 Apapa,Street 9 Ward 4 Apapa,6943546.5,11952984.85,True,Hospitality,42.63,2025-06-13
1437,Robert Stewart,67,Tax inspector,Shomolu,Ward 4 Shomolu,Street 8 Ward 4 Shomolu,3129583.5,8237421.12,True,Real Estate,54.86,2020-11-01
1438,Mr. Brent Mcclain MD,58,"Engineer, civil (contracting)",Somolu,Ward 5 Somolu,Street 8 Ward 5 Somolu,5073993.0,20247170.88,False,Retail,65.63,2025-01-23
1439,Derrick Woodard,28,Estate manager/land agent,Ikorodu,Ward 2 Ikorodu,Street 3 Ward 2 Ikorodu,4617936.0,13113012.01,False,Retail,71.76,2025-11-09
1440,Kristen Clark,62,Police officer,Mushin,Ward 5 Mushin,Street 4 Ward 5 Mushin,604585.5,983412.31,True,Tech,78.58,2023-01-29
1441,Gregory Elliott,38,Paediatric nurse,Lekki,Ward 1 Lekki,Street 9 Ward 1 Lekki,2911852.0,6462855.4,True,Hospitality,76.5,2024-12-12
1442,Patricia Parker,67,Operational investment banker,Epe,Ward 5 Epe,Street 5 Ward 5 Epe,3011376.0,10325415.14,True,Hospitality,82.49,2023-06-26
1443,Heidi Neal,69,"Embryologist, clinical",Epe,Ward 4 Epe,Street 5 Ward 4 Epe,3401362.5,6388560.52,False,Manufacturing,47.13,2023-02-27
1444,Kristy Andrews,32,Veterinary surgeon,Yaba,Ward 3 Yaba,Street 8 Ward 3 Yaba,9245846.0,35072147.66,True,Real Estate,48.38,2021-09-25
1445,Christy Castillo,21,Adult guidance worker,Ikeja,Ward 1 Ikeja,Street 1 Ward 1 Ikeja,9498567.5,35962509.53,False,Hospitality,85.63,2024-07-10
1446,Bryan White,60,Television production assistant,Lekki,Ward 5 Lekki,Street 4 Ward 5 Lekki,17122540.0,63454685.05,True,Tech,97.66,2021-09-10
1447,Maria Rowe,22,Cartographer,Ikorodu,Ward 3 Ikorodu,Street 5 Ward 3 Ikorodu,2437324.0,9048798.16,False,Manufacturing,79.86,2021-09-07
1448,Sarah Tucker,63,Chief Executive Officer,Oshodi-Isolo,Ward 1 Oshodi-Isolo,Street 8 Ward 1 Oshodi-Isolo,3196251.0,12416677.59,False,Hospitality,85.67,2023-02-03
1449,Crystal Vasquez,56,"Education officer, environmental",Oshodi-Isolo,Ward 5 Oshodi-Isolo,Street 1 Ward 5 Oshodi-Isolo,6856936.5,18628449.06,True,Hospitality,61.11,2022-12-11
1450,Jeremy Williams,23,Forensic scientist,Alimosho,Ward 5 Alimosho,Street 9 Ward 5 Alimosho,4640099.0,12132992.98,False,Finance,64.75,2024-09-24
1451,Peter Duke,24,Copy,Ikorodu,Ward 2 Ikorodu,Street 2 Ward 2 Ikorodu,1959728.0,3098119.63,True,Transport,69.58,2025-10-14
1452,Robert Clark,67,Public house manager,Mushin,Ward 2 Mushin,Street 1 Ward 2 Mushin,5981805.0,12053230.96,False,Real Estate,93.82,2022-11-29
1453,Rhonda Brown,63,Volunteer coordinator,Victoria Island,Ward 3 Victoria Island,Street 2 Ward 3 Victoria Island,2257704.0,5731985.89,True,Manufacturing,61.57,2024-10-11
1454,Rachel Moss DDS,21,Press sub,Somolu,Ward 5 Somolu,Street 5 Ward 5 Somolu,2948272.5,5359443.47,False,Transport,72.03,2025-06-17
1455,Darlene Miller,43,Dispensing optician,Mushin,Ward 3 Mushin,Street 6 Ward 3 Mushin,2888971.5,8970160.96,True,Retail,74.65,2023-02-14
1456,Laura Townsend,24,"Nurse, mental health",Ajah,Ward 4 Ajah,Street 10 Ward 4 Ajah,3399606.0,8455968.84,True,Hospitality,93.59,2020-07-03
1457,Shelby Watson,34,Firefighter,Ikeja,Ward 2 Ikeja,Street 3 Ward 2 Ikeja,8228210.0,32133870.12,True,Retail,56.17,2023-04-23
1458,Jacqueline Washington,65,Teaching laboratory technician,Lekki,Ward 1 Lekki,Street 10 Ward 1 Lekki,9425236.0,17088383.54,True,Tech,80.7,2026-01-27
1459,Drew Russell,57,"Horticulturist, commercial",Ajah,Ward 5 Ajah,Street 2 Ward 5 Ajah,2497798.5,9305962.44,True,Tech,51.5,2022-07-04
1460,Tiffany Wong,48,Hotel manager,Eti-Osa,Ward 2 Eti-Osa,Street 1 Ward 2 Eti-Osa,13747011.0,39953120.26,True,Hospitality,78.91,2024-03-12
1461,Bryan Vasquez,36,Podiatrist,Yaba,Ward 2 Yaba,Street 4 Ward 2 Yaba,4322836.0,9353453.47,True,Real Estate,52.79,2024-11-30
1462,Austin Frederick,66,Airline pilot,Yaba,Ward 1 Yaba,Street 4 Ward 1 Yaba,4533446.0,12485831.4,True,Hospitality,75.47,2021-09-15
1463,Katherine Summers,22,"Runner, broadcasting/film/video",Apapa,Ward 3 Apapa,Street 9 Ward 3 Apapa,2255214.0,6560879.51,True,Retail,59.95,2025-10-21
1464,Bailey Jenkins,59,Television floor manager,Agege,Ward 3 Agege,Street 10 Ward 3 Agege,3311680.0,11406218.43,False,Hospitality,82.32,2020-10-08
1465,Jennifer Reynolds,67,"Engineer, land",Ikeja,Ward 1 Ikeja,Street 7 Ward 1 Ikeja,2456490.0,8449751.46,True,Transport,92.93,2024-06-28
1466,Kayla Hubbard,28,Archaeologist,Lekki,Ward 1 Lekki,Street 5 Ward 1 Lekki,13098820.0,33700932.88,False,Hospitality,62.15,2020-06-03
1467,Christine Anderson,25,Environmental education officer,Oshodi-Isolo,Ward 1 Oshodi-Isolo,Street 6 Ward 1 Oshodi-Isolo,7354168.5,18904824.01,False,Tech,43.7,2021-10-10
1468,Tiffany Walls,40,Air cabin crew,Surulere,Ward 5 Surulere,Street 9 Ward 5 Surulere,4353616.0,7041699.59,False,Tech,58.16,2020-02-18
1469,Melissa Garcia,59,"Journalist, broadcasting",Shomolu,Ward 5 Shomolu,Street 4 Ward 5 Shomolu,5134035.0,12122058.51,False,Hospitality,49.08,2022-12-30
1470,Tyler Skinner,51,Chiropodist,Somolu,Ward 5 Somolu,Street 6 Ward 5 Somolu,3148896.0,10024906.29,False,Real Estate,77.27,2025-07-26
1471,Misty Lee,54,Clinical cytogeneticist,Epe,Ward 2 Epe,Street 3 Ward 2 Epe,6453816.0,14843498.72,False,Real Estate,83.79,2025-02-25
1472,James Short,35,Legal executive,Eti-Osa,Ward 3 Eti-Osa,Street 3 Ward 3 Eti-Osa,5328405.0,18687418.94,True,Manufacturing,64.1,2020-04-07
1473,Nicole Tate,56,Veterinary surgeon,Lekki,Ward 5 Lekki,Street 7 Ward 5 Lekki,2205080.0,5548934.82,True,Manufacturing,53.77,2022-09-25
1474,James Miller,55,"Research officer, trade union",Somolu,Ward 5 Somolu,Street 4 Ward 5 Somolu,504091.5,1093856.56,False,Retail,53.34,2023-01-20
1475,Kimberly Ruiz,26,Media buyer,Victoria Island,Ward 4 Victoria Island,Street 10 Ward 4 Victoria Island,5017356.0,13291951.71,True,Manufacturing,50.93,2024-05-30
1476,Sean Bailey,58,Rural practice surveyor,Victoria Island,Ward 2 Victoria Island,Street 3 Ward 2 Victoria Island,14090932.0,29000654.24,True,Hospitality,56.69,2020-02-06
1477,Angela Sanchez,60,Site engineer,Ifako-Ijaiye,Ward 2 Ifako-Ijaiye,Street 6 Ward 2 Ifako-Ijaiye,5305449.0,19566914.9,True,Finance,58.31,2020-08-19
1478,Kathy Oconnor,30,Clinical research associate,Shomolu,Ward 4 Shomolu,Street 2 Ward 4 Shomolu,4582954.5,14682591.41,True,Hospitality,43.3,2021-06-30
1479,Erica Robles,22,Legal secretary,Eti-Osa,Ward 1 Eti-Osa,Street 5 Ward 1 Eti-Osa,11419470.0,22371446.28,False,Retail,67.58,2024-08-22
1480,Michele Roberts,49,General practice doctor,Surulere,Ward 4 Surulere,Street 2 Ward 4 Surulere,2435882.0,9256909.58,False,Hospitality,90.83,2022-07-18
1481,Christine Wilson,39,"Journalist, broadcasting",Ajah,Ward 2 Ajah,Street 2 Ward 2 Ajah,1351387.5,2485734.49,True,Retail,89.82,2020-04-16
1482,Michael Taylor,67,Actuary,Yaba,Ward 2 Yaba,Street 10 Ward 2 Yaba,1683862.0,2705938.15,True,Real Estate,95.78,2024-05-02
1483,Kathleen Orozco,45,"Engineer, aeronautical",Amuwo-Odofin,Ward 4 Amuwo-Odofin,Street 5 Ward 4 Amuwo-Odofin,4215544.5,9646362.0,True,Real Estate,63.48,2021-07-15
1484,Laura Davis,57,Structural engineer,Somolu,Ward 4 Somolu,Street 5 Ward 4 Somolu,2879937.0,10816812.02,False,Retail,65.71,2024-10-23
1485,Amber Byrd,61,"Investment banker, corporate",Ikorodu,Ward 5 Ikorodu,Street 7 Ward 5 Ikorodu,1436598.0,3696749.02,True,Tech,55.32,2022-07-13
1486,Jacob Mullins,48,Food technologist,Lekki,Ward 2 Lekki,Street 10 Ward 2 Lekki,13401756.0,48267194.34,True,Retail,87.12,2024-01-12
1487,Ann Morales,58,"Geologist, engineering",Apapa,Ward 5 Apapa,Street 6 Ward 5 Apapa,5835352.5,15248570.34,True,Tech,76.32,2025-03-28
1488,Lee Miller DVM,35,"Lecturer, further education",Amuwo-Odofin,Ward 5 Amuwo-Odofin,Street 8 Ward 5 Amuwo-Odofin,745575.0,1953307.69,True,Finance,83.86,2021-03-16
1489,Jacob Martinez,56,"Engineer, automotive",Amuwo-Odofin,Ward 1 Amuwo-Odofin,Street 3 Ward 1 Amuwo-Odofin,6643036.5,18156842.06,True,Retail,62.83,2025-09-16
1490,Kylie Lee,61,Engineering geologist,Ajah,Ward 2 Ajah,Street 4 Ward 2 Ajah,5867305.5,18447204.79,True,Real Estate,44.58,2020-10-03
1491,Eric Johnson,32,Chief Financial Officer,Yaba,Ward 2 Yaba,Street 7 Ward 2 Yaba,8802150.0,15810176.3,True,Real Estate,78.84,2022-12-19
1492,Joseph Torres,24,"Engineer, mining",Yaba,Ward 5 Yaba,Street 4 Ward 5 Yaba,7617280.0,28079086.31,False,Finance,91.48,2023-07-02
1493,Christopher Young,35,"Surveyor, land/geomatics",Agege,Ward 4 Agege,Street 5 Ward 4 Agege,3757353.0,8168586.56,False,Tech,43.17,2021-06-02
1494,Dr. Henry Robinson,53,Ambulance person,Surulere,Ward 4 Surulere,Street 2 Ward 4 Surulere,1745752.0,5591628.75,True,Manufacturing,95.94,2025-11-03
1495,Juan Williams,40,Arts development officer,Ikorodu,Ward 4 Ikorodu,Street 2 Ward 4 Ikorodu,3723644.0,7469637.21,False,Manufacturing,44.88,2020-04-25
1496,Joe Espinoza,37,Recycling officer,Victoria Island,Ward 3 Victoria Island,Street 8 Ward 3 Victoria Island,19238268.0,49881104.89,True,Hospitality,97.22,2024-03-22
1497,Mitchell Macdonald,21,Press photographer,Somolu,Ward 3 Somolu,Street 2 Ward 3 Somolu,2178670.5,4748478.28,False,Real Estate,49.89,2024-08-04
1498,Paul Hudson,28,Public relations account executive,Mushin,Ward 2 Mushin,Street 7 Ward 2 Mushin,6698961.0,24309859.16,True,Tech,71.63,2022-02-02
1499,Ronald Perry,22,"Lighting technician, broadcasting/film/video",Somolu,Ward 5 Somolu,Street 2 Ward 5 Somolu,5363047.5,20210981.58,True,Tech,63.08,2023-06-26
1500,Victoria Ali,21,Public librarian,Badagry,Ward 3 Badagry,Street 6 Ward 3 Badagry,3232033.5,5026103.33,True,Hospitality,87.48,2021-03-16
1501,Curtis Miller,65,Information officer,Alimosho,Ward 4 Alimosho,Street 1 Ward 4 Alimosho,3776966.0,14110354.61,True,Retail,44.62,2022-03-21
1502,Bradley Maxwell,66,Audiological scientist,Agege,Ward 3 Agege,Street 4 Ward 3 Agege,1549304.0,4619370.98,True,Real Estate,76.06,2022-07-04
1503,Danielle Cook,42,Civil Service fast streamer,Ikorodu,Ward 1 Ikorodu,Street 4 Ward 1 Ikorodu,1592171.0,3100096.37,False,Retail,54.86,2026-01-02
1504,Linda Evans,31,Recycling officer,Amuwo-Odofin,Ward 5 Amuwo-Odofin,Street 8 Ward 5 Amuwo-Odofin,2543784.0,8157753.68,True,Hospitality,74.21,2025-11-13
1505,Steven Reid,45,"Education officer, museum",Ikorodu,Ward 1 Ikorodu,Street 8 Ward 1 Ikorodu,1388655.0,4630554.36,True,Transport,55.78,2023-09-26
1506,Christopher Young,70,Midwife,Yaba,Ward 5 Yaba,Street 3 Ward 5 Yaba,4433268.0,8993772.58,True,Manufacturing,70.5,2022-11-29
1507,Kristina Mueller,57,Public house manager,Ikeja,Ward 2 Ikeja,Street 5 Ward 2 Ikeja,11684370.0,30431211.28,True,Retail,43.78,2025-07-09
1508,Marisa Perez,30,Analytical chemist,Yaba,Ward 5 Yaba,Street 6 Ward 5 Yaba,7255466.0,28422208.67,False,Real Estate,85.31,2026-01-03
1509,Amber Moore,38,Facilities manager,Ajah,Ward 5 Ajah,Street 1 Ward 5 Ajah,5523402.0,18951460.14,False,Retail,83.99,2023-09-25
1510,Jessica Smith,40,Electronics engineer,Agege,Ward 4 Agege,Street 5 Ward 4 Agege,4819546.0,11789821.7,False,Manufacturing,69.72,2025-12-09
1511,Kenneth Ellis,52,Animator,Shomolu,Ward 5 Shomolu,Street 8 Ward 5 Shomolu,2913156.0,7928167.75,True,Retail,63.39,2023-07-18
1512,Jay Weaver,33,Games developer,Surulere,Ward 1 Surulere,Street 6 Ward 1 Surulere,4734304.0,8718349.4,False,Finance,79.34,2020-04-24
1513,Ms. Allison Gallegos,46,"Therapist, nutritional",Ikeja,Ward 1 Ikeja,Street 7 Ward 1 Ikeja,5687340.0,17946241.84,True,Retail,61.14,2023-08-13
1514,Thomas Rose,65,Teaching laboratory technician,Ikeja,Ward 2 Ikeja,Street 3 Ward 2 Ikeja,9617110.0,17642955.94,False,Finance,72.44,2023-10-06
1515,Alexander White,69,Ranger/warden,Badagry,Ward 2 Badagry,Street 10 Ward 2 Badagry,2453977.5,5771789.16,False,Transport,49.02,2025-03-28
1516,Devin Smith,54,Phytotherapist,Mushin,Ward 4 Mushin,Street 8 Ward 4 Mushin,6108312.0,16652827.68,True,Hospitality,51.15,2023-11-02
1517,Margaret Stevens,64,Economist,Lekki,Ward 1 Lekki,Street 10 Ward 1 Lekki,13315648.0,37279913.13,False,Hospitality,75.15,2020-04-05
1518,Angela Roberts,46,"Scientist, biomedical",Victoria Island,Ward 1 Victoria Island,Street 9 Ward 1 Victoria Island,1152872.0,2234150.93,False,Manufacturing,57.39,2022-03-07
1519,Christopher Brooks,29,"Scientist, marine",Alimosho,Ward 5 Alimosho,Street 9 Ward 5 Alimosho,1157991.0,2234596.7,False,Real Estate,40.42,2022-07-12
1520,Ryan Barnett,39,Financial planner,Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 6 Ward 4 Ifako-Ijaiye,2200165.5,5086880.18,True,Transport,85.36,2022-09-08
1521,Dustin Rodriguez,48,Magazine features editor,Surulere,Ward 5 Surulere,Street 2 Ward 5 Surulere,3315220.0,10051563.35,True,Hospitality,71.84,2023-09-12
1522,David Soto,46,Chartered accountant,Victoria Island,Ward 4 Victoria Island,Street 4 Ward 4 Victoria Island,18440316.0,68867208.15,False,Real Estate,55.13,2022-09-18
1523,Trevor King,65,Commercial horticulturist,Apapa,Ward 4 Apapa,Street 3 Ward 4 Apapa,6352935.0,14458925.26,True,Transport,61.04,2022-04-18
1524,Christopher Brooks,24,Marine scientist,Shomolu,Ward 2 Shomolu,Street 7 Ward 2 Shomolu,5137753.5,20303860.34,False,Hospitality,48.34,2025-02-24
1525,Steven Briggs,40,Occupational hygienist,Victoria Island,Ward 3 Victoria Island,Street 10 Ward 3 Victoria Island,12620776.0,22249577.18,False,Hospitality,68.82,2021-04-07
1526,Cynthia Floyd,45,Games developer,Mushin,Ward 5 Mushin,Street 3 Ward 5 Mushin,1146247.5,2042116.51,True,Hospitality,97.84,2024-11-10
1527,Maria Tate,55,Museum/gallery curator,Ajah,Ward 1 Ajah,Street 6 Ward 1 Ajah,6841758.0,22977116.06,False,Tech,65.05,2025-11-04
1528,John Hernandez,45,Film/video editor,Ikorodu,Ward 3 Ikorodu,Street 2 Ward 3 Ikorodu,4445117.0,15263523.35,False,Manufacturing,67.76,2026-02-18
1529,Benjamin Gross,53,Health and safety adviser,Agege,Ward 5 Agege,Street 6 Ward 5 Agege,4824072.0,15559534.36,True,Real Estate,60.59,2022-08-17
1530,Kenneth Jenkins,58,"Engineer, petroleum",Ikeja,Ward 3 Ikeja,Street 9 Ward 3 Ikeja,4212335.0,13928128.73,True,Transport,67.83,2023-02-09
1531,Alexis Flowers,49,Chartered public finance accountant,Apapa,Ward 2 Apapa,Street 7 Ward 2 Apapa,2924925.0,8289456.06,False,Tech,84.0,2024-04-30
1532,Mark Taylor,61,Cytogeneticist,Victoria Island,Ward 1 Victoria Island,Street 8 Ward 1 Victoria Island,12231560.0,27364658.8,False,Real Estate,76.59,2024-06-25
1533,Patrick Lee,31,"Doctor, general practice",Ifako-Ijaiye,Ward 3 Ifako-Ijaiye,Street 1 Ward 3 Ifako-Ijaiye,4754893.5,12465121.61,False,Real Estate,52.76,2023-04-07
1534,Joseph Miller,49,Legal secretary,Mushin,Ward 5 Mushin,Street 9 Ward 5 Mushin,1860840.0,2994182.97,True,Real Estate,41.9,2024-09-17
1535,Jennifer Nguyen,46,Maintenance engineer,Shomolu,Ward 5 Shomolu,Street 4 Ward 5 Shomolu,5942103.0,15340289.19,False,Manufacturing,85.94,2022-07-28
1536,Debra Kidd,39,Adult guidance worker,Surulere,Ward 1 Surulere,Street 2 Ward 1 Surulere,9519214.0,15881165.31,True,Finance,55.65,2022-01-10
1537,Matthew Klein,69,Colour technologist,Lekki,Ward 2 Lekki,Street 3 Ward 2 Lekki,10557552.0,24061755.82,True,Real Estate,95.69,2020-03-15
1538,James Smith,66,"Engineer, agricultural",Mushin,Ward 4 Mushin,Street 5 Ward 4 Mushin,3613453.5,10922375.4,True,Retail,72.07,2024-08-19
1539,Theodore Sandoval,53,Cartographer,Surulere,Ward 5 Surulere,Street 9 Ward 5 Surulere,885032.0,3291904.38,True,Tech,98.32,2025-04-07
1540,Stephanie Stevens,37,Colour technologist,Ikeja,Ward 5 Ikeja,Street 1 Ward 5 Ikeja,11528445.0,25423303.09,True,Transport,89.25,2022-03-14
1541,Angela Combs,23,Clinical biochemist,Yaba,Ward 5 Yaba,Street 9 Ward 5 Yaba,4342654.0,9488082.65,True,Transport,63.4,2023-01-20
1542,Rachael Cortez,34,Data processing manager,Ikorodu,Ward 2 Ikorodu,Street 2 Ward 2 Ikorodu,4048845.0,9340185.64,False,Manufacturing,46.59,2021-12-30
1543,Nicholas Freeman,36,"Engineer, chemical",Yaba,Ward 1 Yaba,Street 9 Ward 1 Yaba,9587256.0,30552588.6,False,Finance,73.66,2025-01-07
1544,Stephanie Elliott,65,Immunologist,Apapa,Ward 3 Apapa,Street 4 Ward 3 Apapa,2675185.5,4556956.81,False,Hospitality,98.52,2021-10-14
1545,Monica Martin,67,"Teacher, adult education",Alimosho,Ward 2 Alimosho,Street 1 Ward 2 Alimosho,2384301.0,6214504.53,False,Tech,98.45,2022-04-16
1546,Rachel Vargas,27,Local government officer,Surulere,Ward 4 Surulere,Street 6 Ward 4 Surulere,6923510.0,17097858.89,False,Real Estate,57.82,2020-02-04
1547,Dr. Sarah Andrews DDS,58,English as a second language teacher,Apapa,Ward 2 Apapa,Street 4 Ward 2 Apapa,7266850.5,21300063.77,False,Hospitality,52.42,2021-11-26
1548,Kelly Sandoval,67,"Engineer, production",Mushin,Ward 4 Mushin,Street 7 Ward 4 Mushin,4037031.0,10407689.21,False,Tech,60.97,2021-09-03
1549,Michael Galloway,32,Conference centre manager,Mushin,Ward 1 Mushin,Street 7 Ward 1 Mushin,1473034.5,4825343.52,False,Real Estate,78.76,2023-04-10
1550,Linda Weeks,59,"Engineer, land",Alimosho,Ward 5 Alimosho,Street 9 Ward 5 Alimosho,3317562.0,9793101.11,True,Finance,74.9,2024-07-17
1551,Roger Carter,55,Chartered accountant,Somolu,Ward 4 Somolu,Street 6 Ward 4 Somolu,638088.0,2307948.76,False,Hospitality,84.7,2023-07-02
1552,Richard Logan,56,Jewellery designer,Lekki,Ward 4 Lekki,Street 1 Ward 4 Lekki,19449560.0,54006254.85,True,Finance,90.17,2024-07-23
1553,Vanessa Sloan,66,Academic librarian,Ikeja,Ward 4 Ikeja,Street 5 Ward 4 Ikeja,1926067.5,4731832.91,True,Retail,91.57,2021-12-16
1554,Nicole Tate,62,Museum/gallery exhibitions officer,Ikorodu,Ward 5 Ikorodu,Street 4 Ward 5 Ikorodu,1523698.0,4899721.23,True,Hospitality,98.59,2020-01-07
1555,Amanda Powell,41,"Engineer, aeronautical",Shomolu,Ward 1 Shomolu,Street 4 Ward 1 Shomolu,1616100.0,5299421.76,False,Transport,77.44,2023-04-03
1556,James Moore,25,"Engineer, broadcasting (operations)",Ajah,Ward 1 Ajah,Street 2 Ward 1 Ajah,5923569.0,15440148.55,False,Manufacturing,43.02,2024-10-25
1557,Joseph Gibson,54,Minerals surveyor,Victoria Island,Ward 2 Victoria Island,Street 9 Ward 2 Victoria Island,18810148.0,66879190.84,True,Transport,41.66,2024-06-04
1558,Joshua Silva,21,Chief Marketing Officer,Epe,Ward 5 Epe,Street 2 Ward 5 Epe,4823953.5,12766450.36,False,Transport,60.75,2022-01-29
1559,Jeremiah Mills,27,Futures trader,Amuwo-Odofin,Ward 5 Amuwo-Odofin,Street 3 Ward 5 Amuwo-Odofin,4293261.0,15837720.88,False,Hospitality,67.57,2022-05-29
1560,Caitlin Mccoy,55,Commercial/residential surveyor,Lekki,Ward 4 Lekki,Street 3 Ward 4 Lekki,16924672.0,40012704.65,True,Manufacturing,98.32,2020-06-16
1561,Craig Melton,65,"Programmer, applications",Mushin,Ward 2 Mushin,Street 1 Ward 2 Mushin,1979172.0,6705958.79,False,Real Estate,63.24,2023-12-14
1562,Stacey Harrison,52,Database administrator,Lekki,Ward 5 Lekki,Street 7 Ward 5 Lekki,11639352.0,34055253.67,False,Hospitality,60.29,2021-04-08
1563,Jeffrey Navarro,68,"Designer, graphic",Ikorodu,Ward 1 Ikorodu,Street 2 Ward 1 Ikorodu,3552597.0,5882861.87,True,Real Estate,85.44,2021-07-24
1564,Robert Allen,68,"Therapist, horticultural",Somolu,Ward 5 Somolu,Street 1 Ward 5 Somolu,6513336.0,13659437.42,False,Hospitality,65.02,2025-04-13
1565,Jill Robinson,33,Systems developer,Alimosho,Ward 2 Alimosho,Street 5 Ward 2 Alimosho,4819700.0,10687761.54,False,Hospitality,67.16,2020-09-12
1566,Crystal Rodriguez,56,Chief Operating Officer,Kosofe,Ward 3 Kosofe,Street 9 Ward 3 Kosofe,1135473.0,2164228.78,True,Transport,64.33,2020-09-21
1567,Theresa Ingram,51,"Conservator, furniture",Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 7 Ward 4 Ifako-Ijaiye,653698.5,1536449.63,False,Finance,47.21,2021-06-06
1568,Joseph Hart,57,Meteorologist,Lekki,Ward 3 Lekki,Street 5 Ward 3 Lekki,12486388.0,48044362.52,True,Finance,68.95,2022-11-17
1569,April Parker,49,Merchant navy officer,Shomolu,Ward 4 Shomolu,Street 3 Ward 4 Shomolu,6120945.0,23517427.22,False,Manufacturing,88.43,2025-07-28
1570,Elijah Davis IV,68,Energy manager,Victoria Island,Ward 4 Victoria Island,Street 3 Ward 4 Victoria Island,17652092.0,63283029.89,False,Transport,93.41,2021-04-27
1571,Amy Schmidt,44,Actuary,Victoria Island,Ward 5 Victoria Island,Street 4 Ward 5 Victoria Island,10192064.0,32814403.24,False,Manufacturing,76.7,2020-10-13
1572,Charlotte Sanford,30,Advertising art director,Ajah,Ward 5 Ajah,Street 5 Ward 5 Ajah,2531133.0,5373849.68,True,Manufacturing,54.15,2022-08-02
1573,Emily Wright,66,Outdoor activities/education manager,Eti-Osa,Ward 2 Eti-Osa,Street 7 Ward 2 Eti-Osa,4819578.0,13214903.23,False,Tech,96.88,2021-07-07
1574,Stephen Underwood,44,Television camera operator,Oshodi-Isolo,Ward 1 Oshodi-Isolo,Street 5 Ward 1 Oshodi-Isolo,3259249.5,5177126.32,False,Tech,42.32,2023-05-06
1575,Hunter Caldwell,54,Records manager,Ikorodu,Ward 3 Ikorodu,Street 2 Ward 3 Ikorodu,4604874.0,8450367.87,False,Tech,92.67,2024-03-14
1576,Thomas Bender,37,"Teacher, English as a foreign language",Eti-Osa,Ward 5 Eti-Osa,Street 10 Ward 5 Eti-Osa,8055828.0,13477826.65,True,Real Estate,64.77,2023-12-24
1577,Phillip Gibson,49,"Psychologist, counselling",Apapa,Ward 5 Apapa,Street 6 Ward 5 Apapa,6200109.0,16513474.14,False,Tech,54.92,2025-05-06
1578,Michael Cruz,59,Community education officer,Mushin,Ward 3 Mushin,Street 10 Ward 3 Mushin,1373086.5,5477775.32,False,Hospitality,65.76,2022-11-11
1579,Benjamin Williams,43,Furniture conservator/restorer,Kosofe,Ward 4 Kosofe,Street 9 Ward 4 Kosofe,6707758.5,20306990.24,True,Finance,67.64,2022-06-15
1580,Jesse Martinez,48,"Scientist, research (medical)",Oshodi-Isolo,Ward 4 Oshodi-Isolo,Street 1 Ward 4 Oshodi-Isolo,2428548.0,3870452.64,False,Hospitality,64.13,2021-11-09
1581,Natalie Montes,51,Research scientist (maths),Badagry,Ward 5 Badagry,Street 6 Ward 5 Badagry,5973133.5,23632944.96,False,Manufacturing,88.65,2022-09-17
1582,Natalie Jackson,34,Insurance claims handler,Shomolu,Ward 4 Shomolu,Street 2 Ward 4 Shomolu,4064706.0,12498829.63,False,Finance,54.22,2025-11-13
1583,John Franklin,22,Financial controller,Apapa,Ward 1 Apapa,Street 10 Ward 1 Apapa,6481897.5,19042839.51,True,Transport,62.47,2022-07-30
1584,Nicholas Stafford,56,"Teacher, adult education",Agege,Ward 4 Agege,Street 6 Ward 4 Agege,3996077.0,14371562.72,True,Real Estate,78.75,2021-09-01
1585,David Russell,31,Geographical information systems officer,Ajah,Ward 4 Ajah,Street 7 Ward 4 Ajah,3021598.5,8814006.67,False,Tech,70.78,2020-12-21
1586,Christopher Cunningham,42,Textile designer,Amuwo-Odofin,Ward 2 Amuwo-Odofin,Street 1 Ward 2 Amuwo-Odofin,1462029.0,3997172.87,False,Finance,91.32,2022-08-11
1587,Jeanette Barnes,43,"Engineer, technical sales",Eti-Osa,Ward 1 Eti-Osa,Street 3 Ward 1 Eti-Osa,1711821.0,3775813.82,False,Finance,55.81,2022-12-25
1588,Elizabeth Jensen,59,"Surveyor, planning and development",Oshodi-Isolo,Ward 3 Oshodi-Isolo,Street 9 Ward 3 Oshodi-Isolo,1536439.5,4224188.43,False,Finance,94.81,2025-11-29
